Module,Transition,Domain,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio,e_src,e_L,e_R,e_tgt
Vis_L14.mlp.gate_proj,Base->Stage1,Vis,3.6668651437599944e-05,1.1844061864873277e-09,1.8950207474660085e-05,0.0020176397088450355,7.113826860503885e-10,2.014291271979512e-05,0.0015636693679106518,3.9120345508137693e-13,4.971816027854517e-07,3.6668624899814046e-05,1818.446838365497,0.055789040291499205,0.0557890402914992,1.1391169859897416e-13,0.0013086375529397871
Vis_L14.mlp.gate_proj,Stage1->Stage2,Vis,0.00010756739939399288,9.509420355984263e-09,7.124855324645938e-05,0.005716968076736749,5.617649641784746e-09,5.934053695772197e-05,0.004394060875547192,3.3664701811913617e-12,1.4574440533058492e-06,0.00010756627526735059,1668.7061935587124,0.1567673202591563,0.15676732025915627,1.147315531130845e-13,0.0038388878422250493
Vis_L14.mlp.gate_proj,Base->Stage2,Vis,0.00011143891555415767,1.0225076465021824e-08,7.427563914740541e-05,0.0059281888013621945,6.024585507384894e-09,6.150448990061427e-05,0.004550428877334827,3.613154725922065e-12,1.5101927269315548e-06,0.00011143767031884802,1667.4031322717408,0.1623454219618987,0.1623454219618987,1.1391140906277148e-13,0.003977052442223565
Vis_L14.mlp.up_proj,Base->Stage1,Vis,3.408670387246004e-05,1.1551209809948247e-09,1.8288677811906966e-05,0.0018865297205032253,6.963842260581507e-10,1.9845889143673345e-05,0.0014647866663394776,3.771126779425731e-13,4.882569486000557e-07,3.4086741087895286e-05,1846.6210944098686,0.05519801176825717,0.05519801176825716,1.240906425362173e-13,0.0012848534776235805
Vis_L14.mlp.up_proj,Stage1->Stage2,Vis,0.00010247813607503713,9.60547282872634e-09,7.093043833713022e-05,0.005440075841131165,5.687310037442981e-09,5.96528531611634e-05,0.004185998153157743,3.4084945545962953e-12,1.4663731875346081e-06,0.00010247711317790547,1668.5694949325189,0.1577371151808554,0.15773711518085545,1.244137651290141e-13,0.003862774360767238
Vis_L14.mlp.up_proj,Base->Stage2,Vis,0.00010477972881671444,1.0291307088104097e-08,7.384513211322603e-05,0.005630939343941284,6.072344391759183e-09,6.170523961451319e-05,0.004325375118490522,3.5633268290448915e-12,1.5002149870131342e-06,0.00010477879734201741,1704.1222102511445,0.16298957351364357,0.1629895735136436,1.2409118813832512e-13,0.003949534089842359
Vis_L14.mlp.down_proj,Base->Stage1,Vis,3.806537017490473e-05,1.1648496177480539e-09,1.8432355149733585e-05,0.0019070240939718954,6.508020046138698e-10,1.929643187054823e-05,0.0014254293288088545,4.641071048795543e-13,5.415662099161632e-07,3.806539649478346e-05,1402.2668426564314,0.05335642790115249,1.2453033460237838e-13,0.053356427901152484,0.0014253684654575239
Vis_L14.mlp.down_proj,Stage1->Stage2,Vis,0.0001327929203112447,9.428423073521392e-09,7.025739290806252e-05,0.005425468782661096,5.081661079898227e-09,5.636794917205591e-05,0.003983094279208133,5.6481646043360435e-12,1.864027923580073e-06,0.00013279184664620036,899.7013075711503,0.14906450649626726,1.2449384649902822e-13,0.14906450649626726,0.004972464718018769
Vis_L14.mlp.down_proj,Base->Stage2,Vis,0.00013527167712005795,1.0110150144437293e-08,7.316332948445283e-05,0.005618191529048843,5.391441185617165e-09,5.810777136295923e-05,0.0041027038969769555,5.861001747943351e-12,1.8981367919153799e-06,0.0001352706769451041,919.8839067927328,0.15354229303227426,1.2453261493259224e-13,0.1535422930322742,0.005065285900301857
Vis_L15.attn.qkv,Base->Stage1,Vis,3.3485972250845684e-05,1.1220957764429957e-09,1.777966352919306e-05,0.001786486502102985,7.11816315451304e-10,1.9818226807613654e-05,0.0014228815382016312,3.9423768417106446e-13,4.974128612845397e-07,3.3486043948103916e-05,1805.5511789746572,0.05913340033117195,0.05913340033117194,1.2213643998067042e-13,0.0013920334282040846
Vis_L15.attn.qkv,Stage1->Stage2,Vis,0.0001108233894231,9.182574336233482e-09,6.856600064087577e-05,0.005110438858750788,5.684384991221229e-09,5.935199130719722e-05,0.004020848524116374,4.3181060710112315e-12,1.6427491478116226e-06,0.00011082114258071114,1316.4069843912002,0.1670864327054559,0.16708643270545584,1.1965929707279466e-13,0.00460698979380619
Vis_L15.attn.qkv,Base->Stage2,Vis,0.00010892695597916286,9.835784089298457e-09,7.139196593914488e-05,0.005289083991329653,6.066327645206124e-09,6.138999751370708e-05,0.004153736108744196,4.1716036947595065e-12,1.6158743644464525e-06,0.00010892498080542101,1454.1955777886635,0.17261406427417247,0.1726140642741725,1.2213864521744175e-13,0.0045281636985075886
Vis_L15.attn.proj,Base->Stage1,Vis,4.875242961939233e-05,1.0863189874351459e-09,1.6724757732262675e-05,0.0015869326565550281,1.025259919058623e-12,8.066171734648148e-07,4.875248999976918e-05,1.0252599190569169e-12,8.066171734641356e-07,4.8752489999728615e-05,1.000000000001664,1.4201257185457218e-13,8.010969462778373e-14,8.050320149174853e-14,0.0012960655274263152
Vis_L15.attn.proj,Stage1->Stage2,Vis,0.0001391446270812287,9.350573089288893e-09,6.772961778843011e-05,0.004655792307005951,8.35166870246501e-12,2.3006137725778027e-06,0.00013914291993673392,8.351668702470785e-12,2.300613772578678e-06,0.000139142919936782,0.9999999999993087,1.37951047277486e-13,7.926332619339755e-14,7.806842358019198e-14,0.0036991044865113147
Vis_L15.attn.proj,Base->Stage2,Vis,0.000145417846544152,9.96501159601091e-09,7.041065190463769e-05,0.004806327809166826,9.121722784806481e-12,2.4035469967949478e-06,0.00014541624253375422,9.12172278480492e-12,2.403546996794647e-06,0.00014541624253374175,1.0000000000001712,1.4201691583768038e-13,8.011155516340003e-14,8.050524359109014e-14,0.003865880315093106
Vis_L15.mlp.gate_proj,Base->Stage1,Vis,3.655317505622252e-05,1.2273562149637583e-09,1.931077153083032e-05,0.002034213727434065,7.46582711228496e-10,2.0623458045966952e-05,0.0015865370992692533,3.963021905874628e-13,5.00389339166128e-07,3.655312437386463e-05,1883.8722796908871,0.057153173469792644,0.05715317346979263,1.185196576344519e-13,0.0013171379842353945
Vis_L15.mlp.gate_proj,Stage1->Stage2,Vis,0.00010540679649355148,9.782766836585528e-09,7.224828373436358e-05,0.005742946789326577,5.897017909231403e-09,6.080444591053003e-05,0.004458822299297479,3.295449749312505e-12,1.4408831158173695e-06,0.0001054050182811661,1789.4425216047175,0.16062147573920219,0.1606214757392022,1.1336273692061748e-13,0.0037981786191002695
Vis_L15.mlp.gate_proj,Base->Stage2,Vis,0.00011124721171853233,1.0514263063804937e-08,7.531571520121095e-05,0.005953787918216521,6.327216141032752e-09,6.305476909456261e-05,0.004618599203143799,3.670747652411515e-12,1.5184020680196042e-06,0.00011124518073257296,1723.685946342854,0.16637495555598086,0.1663749555559809,1.185169598459403e-13,0.004008623819117556
Vis_L15.mlp.up_proj,Base->Stage1,Vis,3.202522330518293e-05,1.2080410922579154e-09,1.8699561031523208e-05,0.0018850759649410638,7.401086469398805e-10,2.0418595349714243e-05,0.00147548820320731,3.4866501283969327e-13,4.6945523707555566e-07,3.2025224831810795e-05,2122.692612350418,0.056906500753040774,0.056906500753040774,1.2679143615122138e-13,0.0012354416053407956
Vis_L15.mlp.up_proj,Stage1->Stage2,Vis,9.583293671915111e-05,9.858669709684558e-09,7.17356998194867e-05,0.005385052145028751,5.9390158678391785e-09,6.093751613077732e-05,0.004179631536748318,3.1221487387488202e-12,1.405001227340508e-06,9.583133739498647e-05,1902.2206706971938,0.16119558515952248,0.16119558515952254,1.229706668211794e-13,0.003696960686665039
Vis_L15.mlp.up_proj,Base->Stage2,Vis,9.884117773885838e-05,1.0567411054238995e-08,7.470495231260503e-05,0.00557525909878701,6.353798457881889e-09,6.30888135894161e-05,0.004323121805051311,3.321236939886997e-12,1.4490365708074946e-06,9.88395329227868e-05,1913.0819549712926,0.16672932272415458,0.1667293227241545,1.2679479264166696e-13,0.003813010205605189
Vis_L15.mlp.down_proj,Base->Stage1,Vis,3.4923985163880504e-05,1.202319483954376e-09,1.8703836365251212e-05,0.0019061337144743683,7.03099454249362e-10,1.9992321976305705e-05,0.0014576451127430363,4.0360906401974354e-13,5.056264752113074e-07,3.492399165949682e-05,1742.0308831690859,0.05546263131262172,1.3001323929817844e-13,0.05546263131262171,0.0013292249766886073
Vis_L15.mlp.down_proj,Stage1->Stage2,Vis,0.00010747417012154849,9.819385718828145e-09,7.170777620415904e-05,0.005447291750189837,5.587382554709623e-09,5.913324746230446e-05,0.004109061864536361,3.8222699826556806e-12,1.5526231122500369e-06,0.00010747294657630584,1461.7969374386153,0.1563396098083415,1.302335041351817e-13,0.15633960980834147,0.004090521858647561
Vis_L15.mlp.down_proj,Base->Stage2,Vis,0.00011282118074470011,1.0520389009935845e-08,7.463402769046393e-05,0.005638380437575473,5.956728433233113e-09,6.112790601209894e-05,0.004242700514592938,4.212060512643605e-12,1.629417401359484e-06,0.00011281991730994542,1414.2077055522896,0.16142197840305791,1.300167669163107e-13,0.16142197840305794,0.004294032615170575
Vis_L16.attn.qkv,Base->Stage1,Vis,3.4806279984222945e-05,1.2019348959651564e-09,1.8763821076414426e-05,0.0019358304198416742,7.369610331923246e-10,2.0388619143103674e-05,0.0015158251224628035,3.88564195461283e-13,4.955956630619768e-07,3.480632955141656e-05,1896.6261992241543,0.06016952295597622,0.06016952295597623,1.2230696510377511e-13,0.001381980728350182
Vis_L16.attn.qkv,Stage1->Stage2,Vis,0.00010399792028257664,9.767455910723469e-09,7.168326804736817e-05,0.0055184669144595,5.826419298750311e-09,6.036656756896202e-05,0.004262148538505687,3.468930773261021e-12,1.4796863889722743e-06,0.00010399812990228358,1679.6009143973483,0.169173144610795,0.1691731446107949,1.2111090945298971e-13,0.004129223720838163
Vis_L16.attn.qkv,Base->Stage2,Vis,0.0001088787548348931,1.0490756657802631e-08,7.47086293020871e-05,0.0057191451640048515,6.221534013711122e-09,6.246609796769659e-05,0.004404295536399834,3.8021903217302925e-12,1.5486395484030701e-06,0.00010887912934561913,1636.3026275023076,0.17481311783566278,0.17481311783566275,1.223079765346479e-13,0.004323022769934107
Vis_L16.attn.proj,Base->Stage1,Vis,5.865139310534228e-05,1.2372391017368252e-09,1.936215432086108e-05,0.002035997048257363,1.0267261958643407e-12,8.070842994525359e-07,5.86513005744693e-05,1.026726195863899e-12,8.070842994523043e-07,5.865130057445667e-05,1.00000000000043,1.2065977875641597e-13,6.789207449365996e-14,6.833584270236989e-14,0.001296991981202433
Vis_L16.attn.proj,Stage1->Stage2,Vis,0.00016510414675356745,9.868052187933746e-09,7.254178205165829e-05,0.0057499612431728304,8.136081891357252e-12,2.2733963154854337e-06,0.0001651037183263698,8.136081891358277e-12,2.2733963154856146e-06,0.0001651037183263802,0.9999999999998741,1.151355338910968e-13,6.601884117924276e-14,6.512187672092323e-14,0.0036510486946631365
Vis_L16.attn.proj,Base->Stage2,Vis,0.00017478836499534045,1.0600517276688131e-08,7.561487809138789e-05,0.005959539843607492,9.118491937205802e-12,2.4049514220288936e-06,0.00017478763568586777,9.118491937210255e-12,2.404951422029466e-06,0.00017478763568591044,0.9999999999995117,1.206624805667288e-13,6.789014375724856e-14,6.833966464980464e-14,0.003865195621171752
Vis_L16.mlp.gate_proj,Base->Stage1,Vis,3.6306708008354236e-05,1.2173127017802267e-09,1.910771017767394e-05,0.001997712725405824,7.427681364445451e-10,2.054349318154044e-05,0.0015604813828983019,4.020773324845372e-13,5.043803782239643e-07,3.630669812754515e-05,1847.3265624172184,0.05700667488655744,0.05700667488655745,1.2007865063076862e-13,0.0013267003168328214
Vis_L16.mlp.gate_proj,Stage1->Stage2,Vis,0.00010112518033911607,9.815151265464957e-09,7.221787224873616e-05,0.005672485714773666,5.95579275852675e-09,6.108222021401138e-05,0.004418701873191664,3.1192824349576663e-12,1.4035677295904022e-06,0.00010112353947252683,1909.347063856877,0.1614231569078076,0.1614231569078076,1.1808501199980804e-13,0.0036952632906561175
Vis_L16.mlp.gate_proj,Base->Stage2,Vis,0.00010589997122245462,1.054149203189998e-08,7.525548662983639e-05,0.005878627673156116,6.381352661964647e-09,6.330019876649193e-05,0.004573843341057983,3.4207987847516054e-12,1.4685155948496734e-06,0.00010589822405965598,1865.4568898965558,0.16708923789682184,0.16708923789682187,1.2007942952706003e-13,0.0038697401411630496
Vis_L16.mlp.up_proj,Base->Stage1,Vis,3.0909404313301445e-05,1.189119356436024e-09,1.8392228221825213e-05,0.0018379421777418433,7.322687378642481e-10,2.026429733012183e-05,0.0014422958925325458,3.363125263517541e-13,4.611630428952951e-07,3.090940475595166e-05,2177.346011484442,0.056604684675700574,0.05660468467570056,1.2657809704329663e-13,0.0012133596809509694
Vis_L16.mlp.up_proj,Stage1->Stage2,Vis,9.298269476846716e-05,9.965056178230036e-09,7.191873930903764e-05,0.005320478726191627,6.072255696600708e-09,6.157222820003599e-05,0.0041532288373096055,3.0434489200710098e-12,1.3865068613759107e-06,9.298092104780632e-05,1995.1889635982554,0.16299658509390696,0.16299658509390702,1.3030274949079504e-13,0.0036500687654485156
Vis_L16.mlp.up_proj,Base->Stage2,Vis,9.701900529613441e-05,1.0663121487813272e-08,7.483350824890034e-05,0.005503677961485191,6.49143897528355e-09,6.374264138129837e-05,0.004294190676746163,3.3134117489421337e-12,1.4468531280180675e-06,9.701715596880028e-05,1959.140447110462,0.16852747776211163,0.1685274777621116,1.2658275765458174e-13,0.003808515625827085
Vis_L16.mlp.down_proj,Base->Stage1,Vis,3.4517091439297386e-05,1.1816672145959971e-09,1.8370206967725715e-05,0.0018530597848476942,7.022205930494208e-10,1.9919584285341898e-05,0.0014284946514231535,4.1000139102729045e-13,5.096502064576752e-07,3.451711608144513e-05,1712.7273429242578,0.05542771972031943,1.361637959179039e-13,0.05542771972031943,0.001339709703391398
Vis_L16.mlp.down_proj,Stage1->Stage2,Vis,0.0001147728809418588,9.900184197575805e-09,7.17416206531149e-05,0.005363598744831299,5.793550516181212e-09,6.01742764399592e-05,0.004103052198670051,4.5330957260563885e-12,1.6557235128507004e-06,0.00011477097950636933,1278.0560716773941,0.15919093785558028,1.3177623970380567e-13,0.15919093785558022,0.004454669443447454
Vis_L16.mlp.down_proj,Base->Stage2,Vis,0.00011718819551889166,1.0587459694206543e-08,7.4617246310884e-05,0.005546647008287732,6.164608774639782e-09,6.215259656331703e-05,0.004232406796048031,4.725901635817503e-12,1.6964381922559533e-06,0.00011718633772962776,1304.430191250353,0.1642105873528003,1.3616431410769485e-13,0.1642105873528003,0.004548418076755334
Vis_L17.attn.qkv,Base->Stage1,Vis,3.548529934104837e-05,1.2046647470667542e-09,1.8693984641690403e-05,0.0018972034948522088,7.324387883407881e-10,2.0326788410100902e-05,0.0014793348315711768,4.214391783988472e-13,5.155337065619855e-07,3.5485282627075074e-05,1737.9466026948564,0.05998321325725068,0.05998321325725071,1.2630545649514227e-13,0.001439256005603594
Vis_L17.attn.qkv,Stage1->Stage2,Vis,9.902188929578816e-05,9.735308860666988e-09,7.123247153570489e-05,0.005393263228661291,5.782762612627149e-09,6.009950173696983e-05,0.004156659332090965,3.281714424293388e-12,1.4418512300904392e-06,9.902096243495528e-05,1762.1163407209879,0.1685412492396802,0.1685412492396802,1.2669941243376759e-13,0.004016252325027257
